t_trial_s,face_detected,pose_detected,avg_ar,l_wrist_hip,r_wrist_hip,mid_shoulder_x,l_ankle_x,r_ankle_x,l_foot_y,r_foot_y,l_hip_angle,r_hip_angle,raw_EYES_OPEN,raw_HANDS_OFF_HIPS,raw_STUMBLE_SWAY,raw_HIP_ABDUCTION,raw_FOOT_LIFT
0.005,True,True,0.4099,0.0759,0.0811,0.479,0.5158,0.4656,0.8111,0.8095,170.1,166.62,True,False,False,False,False
0.039,True,True,0.382,0.076,0.0806,0.4791,0.5161,0.4656,0.8112,0.8095,169.97,166.5,True,False,False,False,False
0.072,True,True,0.1844,0.0762,0.0807,0.4791,0.5164,0.4656,0.8112,0.8096,169.9,166.48,False,False,False,False,False
0.106,True,True,0.1677,0.076,0.0808,0.4791,0.5164,0.4659,0.8114,0.8098,170.01,166.32,False,False,False,False,False
0.139,True,True,0.1573,0.0763,0.0807,0.479,0.5179,0.4664,0.8114,0.8098,169.98,166.36,False,False,False,False,False
0.172,True,True,0.1727,0.0765,0.0806,0.4789,0.5183,0.4665,0.8115,0.8098,170.14,166.42,False,False,False,False,False
0.206,True,True,0.1982,0.0766,0.0805,0.4787,0.5185,0.4672,0.8119,0.8099,170.02,166.39,False,False,False,False,False
0.239,True,True,0.2055,0.076,0.0805,0.4786,0.5185,0.4672,0.8119,0.81,170.02,166.32,True,False,False,False,False
0.273,True,True,0.1855,0.076,0.0805,0.4782,0.5187,0.4674,0.8118,0.81,170.04,166.36,False,False,False,False,False
0.306,True,True,0.2192,0.0757,0.0809,0.4776,0.5186,0.4677,0.8118,0.81,170.25,166.09,True,False,False,False,False
0.339,True,True,0.183,0.0756,0.0808,0.4768,0.5194,0.4679,0.8119,0.81,170.21,165.87,False,False,False,False,False
0.373,True,True,0.19,0.0759,0.0807,0.4761,0.5194,0.4682,0.8117,0.81,170.23,165.93,False,False,False,False,False
0.406,True,True,0.1625,0.0753,0.0811,0.4748,0.5194,0.4683,0.8117,0.8099,170.58,165.73,False,False,False,False,False
0.44,True,True,0.1559,0.0756,0.0811,0.474,0.5195,0.4683,0.8117,0.8099,170.79,165.62,False,False,False,False,False
0.473,True,True,0.128,0.0758,0.0809,0.473,0.5196,0.4685,0.8115,0.8099,170.99,165.36,False,False,False,False,False
0.506,True,True,0.1191,0.0763,0.081,0.4718,0.5196,0.4686,0.8112,0.8099,171.11,165.12,False,False,False,False,False
0.54,True,True,0.1316,0.0758,0.0814,0.4706,0.5194,0.4684,0.8111,0.8098,171.33,164.66,False,False,False,False,False
0.573,True,True,0.1586,0.0765,0.0812,0.4691,0.5173,0.4683,0.8096,0.8098,171.83,164.27,False,False,False,False,False
0.606,True,True,0.1749,0.077,0.081,0.4679,0.5155,0.4683,0.8091,0.8099,171.91,163.95,False,False,False,False,False
0.64,True,True,0.172,0.077,0.0809,0.4663,0.5158,0.4683,0.809,0.8099,172.21,163.2,False,False,False,False,False
0.673,True,True,0.1251,0.0772,0.0808,0.4645,0.5157,0.469,0.809,0.81,172.89,162.72,False,False,False,False,False
0.707,True,True,0.1388,0.0776,0.0802,0.4627,0.516,0.4696,0.8099,0.8101,173.71,162.26,False,False,False,False,False
0.74,True,True,0.1631,0.0786,0.0798,0.4596,0.5157,0.4696,0.8101,0.8103,175.05,161.56,False,False,False,False,False
0.773,True,True,0.1667,0.0787,0.0788,0.4572,0.5156,0.4695,0.81,0.8112,176.45,160.86,False,False,False,False,False
0.807,True,True,0.1728,0.0789,0.0787,0.4542,0.5158,0.4692,0.81,0.8114,177.59,159.91,False,False,False,False,False
