stance,surface,error_type,start_s,duration_s
DOUBLE_LEG,FIRM,HANDS_OFF_HIPS,0.206,0.801
DOUBLE_LEG,FIRM,HIP_ABDUCTION,2.61,0.902
DOUBLE_LEG,FIRM,HIP_ABDUCTION,4.781,1.336
DOUBLE_LEG,FIRM,FOOT_LIFT,6.918,0.668
DOUBLE_LEG,FIRM,HIP_ABDUCTION,12.729,1.403
DOUBLE_LEG,FIRM,HANDS_OFF_HIPS,18.539,0.968
